representative	product	locus_tag
VNG_1623G	heme A synthase	VNG_1623G,VNG_RS06295,VNG1623G
VNG_1624G	malate dehydrogenase(oxaloacetate-decarboxylating)	VNG_1624G,VNG_RS06300,VNG1624G
VNG_1625H	ribonuclease H, type 1	VNG_1625H,VNG_RS06305,VNG1625H
VNG_1626C	DMT superfamily transport protein	VNG_1626C,VNG_RS06310,VNG1626C
VNG_1628G	probable oxidoreductase (aldo-keto reductasefamily protein)	VNG_1628G,VNG_RS06315,VNG1628G
VNG_1630H	uncharacterized protein	VNG_1630H,VNG_RS06320,VNG1630H
VNG_1631G	ABC-type transport system ATP-binding protein(probable substrate cobalt)	VNG_1631G,VNG_RS06325,VNG1631G
VNG_1632G	ABC-type transport system permease protein(probable substrate cobalt)	VNG_1632G,VNG_RS06330,VNG1632G
VNG_1634G	ABC-type transport system protein CbiN (probablesubstrate cobalt)	VNG_1634G,VNG_RS06335,VNG1634G
VNG_1635G	ABC-type transport system permease protein(probable substrate cobalt)	VNG_1635G,VNG_RS06340,VNG1635G
VNG_1637G	halocyanin HcpA	VNG_1637G,VNG_RS06345,VNG1637G
VNG_1638H	uncharacterized protein	VNG_1638H,VNG_RS06355,VNG1638H
VNG_1640H	uncharacterized protein	VNG_1640H,VNG_RS06360,VNG1640H
VNG_1641H	uncharacterized protein	VNG_1641H,VNG_RS06365,VNG1641H
VNG_1642H	small CPxCG-related zinc finger protein	VNG_1642H,VNG1642H
VNG_1644G	ribonucleoside-diphosphate reductase,adenosylcobalamin-dependent	VNG_1644G,VNG_RS06370,VNG1644G
VNG_1645H	uncharacterized protein	VNG_1645H,VNG_RS06375,VNG1645H
VNG_1646G	anthranilate synthase component 2	VNG_1646G,VNG_RS06380,VNG1646G
VNG_1647G	anthranilate synthase component 1	VNG_1647G,VNG_RS06385,VNG1647G
VNG_1648G	N-(5'-phosphoribosyl)anthranilate isomerase	VNG_1648G,VNG_RS06390,VNG1648G
VNG_1649a	uncharacterized protein	VNG_1649a
VNG_1649G	anthranilate phosphoribosyltransferase	VNG_1649G,VNG_RS06395,VNG1649G
VNG_1650H	uncharacterized protein	VNG_1650H,VNG_RS06405,VNG1650H
VNG_1653H	ISH8-type transposase ISH8	VNG_1653H,VNG_7078a,VNG_6106H,VNG_6161H,VNG_6345H,VNG_RS06410,VNG_RS12610,VNG_RS10915,VNG_RS11115,VNG_RS11745,VNG1653H,VNG5109H,VNG6106H,VNG6161H,VNG6345H
VNG_1654G	AAA-type ATPase core domain protein	VNG_1654G,VNG_RS13355,VNG1654G
VNG_1655H	uncharacterized protein	VNG_1655H,VNG_RS06415,VNG1655H
VNG_1656H	uncharacterized protein	VNG_1656H,VNG_RS06425,VNG1656H
VNG_1657H	uncharacterized protein	VNG_1657H,VNG_RS06420,VNG1657H
VNG_1658C	UspA domain protein	VNG_1658C,VNG_RS06430,VNG1658C
VNG_1659G	transducer protein HtrI	VNG_1659G,VNG_RS06435,VNG1659G
VNG_1660G	sensory rhodopsin I	VNG_1660G,VNG_RS06440,VNG1660G
VNG_1663C	CBS domain protein	VNG_1663C,VNG_RS06445,VNG1663C
VNG_1664H	uncharacterized protein	VNG_1664H,VNG_RS06450,VNG1664H
VNG_1665G	DNA repair and recombination protein RadB	VNG_1665G,VNG_RS06455,VNG1665G
VNG_1666H	homolog to carbohydrate reductase	VNG_1666H,VNG_RS06460,VNG1666H
VNG_1667G	AAA-type ATPase (CDC48 subfamily)	VNG_1667G,VNG_RS06465,VNG1667G
VNG_1668G	30S ribosomal protein S8e	VNG_1668G,VNG_RS06470,VNG1668G
VNG_1670C	DUF2240 family protein	VNG_1670C,VNG_RS06475,VNG1670C
VNG_1672H	uncharacterized protein	VNG_1672H,VNG_RS06480,VNG1672H
VNG_1673G	orotidine-5'-phosphate decarboxylase	VNG_1673G,VNG_RS06485,VNG1673G
VNG_1674H	uncharacterized protein	VNG_1674H,VNG_RS14230,VNG1674H
VNG_1675a	HAD superfamily hydrolase	VNG_1675a,VNG_RS06495,VNG1675a
VNG_1675H	DnaJ N-terminal domain protein	VNG_1675H,VNG_RS06490,VNG1675H
VNG_1676G	homolog to translation elongation factor aEF-1alpha subunit	VNG_1676G,VNG_RS06500,VNG1676G
VNG_1678H	uncharacterized protein	VNG_1678H,VNG_RS06505,VNG1678H
VNG_1679H	uncharacterized protein	VNG_1679H,VNG_RS06510,VNG1679H
VNG_1680G	phytoene synthase	VNG_1680G,VNG_RS06515,VNG1680G
VNG_1681C	bisanhydrobacterioruberin hydratase	VNG_1681C,VNG_RS06520,VNG1681C
VNG_1682C	lycopene elongase/hydratase (dihydrobisanhydrobacterioruberin-forming)	VNG_1682C,VNG_RS06525,VNG1682C
VNG_1684G	carotenoid 3,4-desaturase	VNG_1684G,VNG_RS06530,VNG1684G
VNG_1686G	probable methenyltetrahydrofolatecyclohydrolase	VNG_1686G,VNG_RS06535,VNG1686G
VNG_1687C	major facilitator superfamily transport protein	VNG_1687C,VNG_RS06540,VNG1687C
VNG_1688C	DUF171 family protein	VNG_1688C,VNG_RS06550,VNG1688C
VNG_1689G	50S ribosomal protein L3	VNG_1689G,VNG_RS06555,VNG1689G
VNG_1690G	50S ribosomal protein L4	VNG_1690G,VNG_RS06560,VNG1690G
VNG_1691G	50S ribosomal protein L23	VNG_1691G,VNG_RS06565,VNG1691G
VNG_1692G	50S ribosomal protein L2	VNG_1692G,VNG_RS06570,VNG1692G
VNG_1693G	30S ribosomal protein S19	VNG_1693G,VNG_RS06575,VNG1693G
VNG_1695G	50S ribosomal protein L22	VNG_1695G,VNG_RS06580,VNG1695G
VNG_1697G	30S ribosomal protein S3	VNG_1697G,VNG_RS06585,VNG1697G
VNG_1698G	50S ribosomal protein L29	VNG_1698G,VNG_RS06590,VNG1698G
VNG_1699C	ribonuclease P protein component 1	VNG_1699C,VNG_RS06595,VNG1699C
VNG_1700G	30S ribosomal protein S17	VNG_1700G,VNG_RS06600,VNG1700G
VNG_1701G	50S ribosomal protein L14	VNG_1701G,VNG_RS06605,VNG1701G
VNG_1702G	50S ribosomal protein L24	VNG_1702G,VNG_RS06610,VNG1702G
VNG_1703G	30S ribosomal protein S4e	VNG_1703G,VNG_RS06615,VNG1703G
VNG_1705G	50S ribosomal protein L5	VNG_1705G,VNG_RS06620,VNG1705G
VNG_1706G	30S ribosomal protein S14	VNG_1706G,VNG_RS06625,VNG1706G
VNG_1707G	30S ribosomal protein S8	VNG_1707G,VNG_RS06630,VNG1707G
VNG_1709G	50S ribosomal protein L6	VNG_1709G,VNG_RS06635,VNG1709G
VNG_1711G	50S ribosomal protein L32e	VNG_1711G,VNG_RS06640,VNG1711G
VNG_1713G	50S ribosomal protein L19e	VNG_1713G,VNG_RS06645,VNG1713G
VNG_1714G	50S ribosomal protein L18	VNG_1714G,VNG_RS06650,VNG1714G
VNG_1715G	30S ribosomal protein S5	VNG_1715G,VNG_RS06655,VNG1715G
VNG_1716G	50S ribosomal protein L30	VNG_1716G,VNG_RS06660,VNG1716G
VNG_1718G	50S ribosomal protein L15	VNG_1718G,VNG_RS06665,VNG1718G
VNG_1719G	protein translocase subunit SecY	VNG_1719G,VNG_RS06670,VNG1719G
VNG_1720a	Trk-type transport system (nonfunctional)	VNG_1720a,VNG_RS13980
VNG_1720H	ABC-type transport system periplasmicsubstrate-binding protein	VNG_1720H,VNG_RS06675,VNG1720H
VNG_1721G	Trk-type transport system (probable substratepotassium)	VNG_1721G,VNG_RS06685,VNG1721G
VNG_1723H	uncharacterized protein	VNG_1723H,VNG_RS06690,VNG1723H
VNG_1724G	adenylate kinase	VNG_1724G,VNG_RS06695,VNG1724G
VNG_1726G	DUF106 family protein	VNG_1726G,VNG_RS06700,VNG1726G
VNG_1727G	cytidylate kinase	VNG_1727G,VNG_RS06705,VNG1727G
VNG_1729G	tRNA/rRNA pseudouridine synthase Cbf5	VNG_1729G,VNG_RS06710,VNG1729G
VNG_1732C	uncharacterized protein	VNG_1732C,VNG_RS06720,VNG1732C
VNG_1733G	transducer protein Htr17	VNG_1733G,VNG_RS06725,VNG1733G
VNG_1734H	uncharacterized protein	VNG_1734H,VNG_RS06730,VNG1734H
VNG_1735C	MOSC domain protein	VNG_1735C,VNG_RS06735,VNG1735C
VNG_1737H	uncharacterized protein	VNG_1737H,VNG_RS06740,VNG1737H
VNG_1739G	uncharacterized protein	VNG_1739G,VNG_RS06745,VNG1739G
VNG_1740a	uncharacterized protein	VNG_1740a,VNG_RS06755
VNG_1740C	uncharacterized protein	VNG_1740C,VNG_RS06750,VNG1740C
VNG_1743C	transcription elongation factor TFS	VNG_1743C,VNG_RS06760,VNG1743C
VNG_1744H	uncharacterized protein	VNG_1744H,VNG_RS06765,VNG1744H
VNG_1746C	DUF2071 family protein	VNG_1746C,VNG_RS06770,VNG1746C
VNG_1748C	probable oxidoreductase (short-chaindehydrogenase family)	VNG_1748C,VNG_RS06775,VNG1748C
VNG_1749G	GTP-binding protein	VNG_1749G,VNG_RS06780,VNG1749G
VNG_1751H	receiver/sensor box protein	VNG_1751H,VNG_RS06785,VNG1751H
VNG_1752C	UspA domain protein	VNG_1752C,VNG_RS06790,VNG1752C
VNG_1754G	deoxyribodipyrimidine photo-lyase	VNG_1754G,VNG_RS06795,VNG1754G
VNG_1755G	phytoene dehydrogenase (phytoene desaturase)	VNG_1755G,VNG_RS06800,VNG1755G
VNG_1756G	translation initiation factor aIF-1A	VNG_1756G,VNG_RS06805,VNG1756G
VNG_1758H	uncharacterized protein	VNG_1758H,VNG_RS06810,VNG1758H
VNG_1759G	transducer protein HtrVII	VNG_1759G,VNG_RS06815,VNG1759G
VNG_1760G	transducer protein CosT	VNG_1760G,VNG_RS06820,VNG1760G
VNG_1762a	uncharacterized protein	VNG_1762a
VNG_1762b	uncharacterized protein	VNG_1762b
VNG_1762G	chemotactic signal transduction systemperiplasmic substrate-binding protein CosB	VNG_1762G,VNG_RS06825,VNG1762G
VNG_1764G	sensory rhodopsin II	VNG_1764G,VNG_RS06830,VNG1764G
VNG_1765G	transducer protein HtrII	VNG_1765G,VNG_RS06835,VNG1765G
VNG_1766C	GTP cyclohydrolase 1 domain protein	VNG_1766C,VNG_RS06840,VNG1766C
VNG_1767G	agmatinase	VNG_1767G,VNG_RS06845,VNG1767G
VNG_1768G	translation elongation factor aEF-5A	VNG_1768G,VNG_RS06850,VNG1768G
VNG_1769C	creatininase domain protein	VNG_1769C,VNG_RS06855,VNG1769Cm
VNG_1770C	UbiB family protein	VNG_1770C,VNG_RS06860,VNG1770C
VNG_1771C	Hsp20-type molecular chaperone	VNG_1771C,VNG_RS06865,VNG1771C
VNG_1772G	HAD superfamily hydrolase	VNG_1772G,VNG_RS06870,VNG1772G
VNG_1773G	probable pterin-4-alpha-carbinolaminedehydratase	VNG_1773G,VNG_RS06875,VNG1773G
VNG_1774G	glutamyl-tRNA reductase	VNG_1774G,VNG_RS06880,VNG1774G
VNG_1775C	precorrin-2 oxidase / ferrochelatase	VNG_1775C,VNG_RS06885,VNG1775C
VNG_1776G	siroheme decarboxylase AhbB	VNG_1776G,VNG_RS06890,VNG1776G
VNG_1777H	uncharacterized protein	VNG_1777H,VNG_RS06895,VNG1777H
VNG_1779C	tritrans,polycis-undecaprenyl-diphosphatesynthase (geranylgeranyl-diphosphate specific)	VNG_1779C,VNG_RS06900,VNG1779C
VNG_1781C	tritrans,polycis-undecaprenyl-diphosphatesynthase (geranylgeranyl-diphosphate specific)	VNG_1781C,VNG_RS06905,VNG1781C
VNG_1782C	DUF92 family protein	VNG_1782C,VNG_RS06910,VNG1782C
VNG_1783H	DUF3311 family protein	VNG_1783H,VNG_RS06920,VNG1783H
VNG_1784C	DNA primase DnaG	VNG_1784C,VNG_RS06915,VNG1784C
VNG_1785G	SSSF family transport protein	VNG_1785G,VNG_RS06925,VNG1785G
VNG_1786H	PadR family transcription regulator	VNG_1786H,VNG_RS06930,VNG1786H
VNG_1787H	uncharacterized protein	VNG_1787H,VNG_RS06935,VNG1787H
VNG_1788C	uncharacterized protein	VNG_1788C,VNG_RS06940,VNG1788C
VNG_1790H	DsrE domain protein	VNG_1790H,VNG_RS06945,VNG1790H
VNG_1791C	DUF1405 family protein	VNG_1791C,VNG_RS06950,VNG1791C
VNG_1793C	pyridoxal 5'-phosphate synthase subunit PdxS	VNG_1793C,VNG_RS06955,VNG1793C
VNG_1794C	endonuclease domain protein	VNG_1794C,VNG_RS06960,VNG1794C
VNG_1795C	amine oxidase domain protein	VNG_1795C,VNG_RS06970,VNG1795C
VNG_1796a	uncharacterized protein	VNG_1796a,VNG_RS06980
VNG_1796H	uncharacterized protein	VNG_1796H,VNG_RS06975,VNG1796H
VNG_1797G	homoserine kinase	VNG_1797G,VNG_RS06965,VNG1797G
VNG_1798H	uncharacterized protein	VNG_1798H,VNG_RS06985,VNG1798H
VNG_1800H	uncharacterized protein	VNG_1800H,VNG_RS06990,VNG1800H
VNG_1801G	Hsp20-type molecular chaperone	VNG_1801G,VNG_RS06995,VNG1801G
VNG_1802H	glutamine-rich alkaline protein	VNG_1802H,VNG_RS07000,VNG1802H
VNG_1804G	flavin-dependent pyridine nucleotideoxidoreductase	VNG_1804G,VNG_RS07005,VNG1804G
VNG_1806H	uncharacterized protein	VNG_1806H,VNG_RS07010,VNG1806H
VNG_1807H	uncharacterized protein	VNG_1807H,VNG_RS07015,VNG1807H
VNG_1809H	uncharacterized protein	VNG_1809H,VNG_RS07020,VNG1809H
VNG_1811G	homolog to erythromycin esterase	VNG_1811G,VNG_RS07025,VNG1811G
VNG_1814G	carbamoyl-phosphate synthase(glutamine-hydrolyzing) large subunit	VNG_1814G,VNG_RS07030,VNG1814G
VNG_1815G	carbamoyl-phosphate synthase(glutamine-hydrolyzing) small subunit	VNG_1815G,VNG_RS07035,VNG1815G
VNG_1816G	Lrp/AsnC family transcription regulator	VNG_1816G,VNG_RS07040,VNG1816G
VNG_1818a	desampylase Jamm1	VNG_1818a,VNG_RS07050,VNG1818a
VNG_1818G	isopentenyl-diphosphate delta-isomerase, type I	VNG_1818G,VNG_RS07045,VNG1818G
VNG_1820H	uncharacterized protein	VNG_1820H,VNG_RS07055,VNG1820H
VNG_1821G	NADPH:quinone reductase	VNG_1821G,VNG_RS07060,VNG1821G
VNG_1822G	molybdopterin adenylyltransferase	VNG_1822G,VNG_RS07065,VNG1822G
VNG_1823C	probable COG0212-type thiamine metabolismprotein	VNG_1823C,VNG_RS07070,VNG1823C
VNG_1826H	uncharacterized protein	VNG_1826H,VNG_RS07075,VNG1826H
VNG_1827H	uncharacterized protein	VNG_1827H,VNG_RS07080,VNG1827H
VNG_1829G	GMP synthase (glutamine-hydrolyzing) subunit B	VNG_1829G,VNG_RS07085,VNG1829G
VNG_1830G	CTP synthase	VNG_1830G,VNG_RS07090,VNG1830G
VNG_1831H	uncharacterized protein	VNG_1831H,VNG_RS07095,VNG1831H
VNG_1832H	spurious ORF	VNG_1832H,VNG1832H
VNG_1833C	alpha/beta hydrolase fold protein	VNG_1833C,VNG_RS07100,VNG1833C
VNG_1834G	peroxiredoxin domain protein	VNG_1834G,VNG_RS07105,VNG1834G
VNG_1835G	threonine--tRNA ligase	VNG_1835G,VNG_RS07110,VNG1835G
VNG_1836G	cold shock protein	VNG_1836G,VNG_RS07115,VNG1836G
VNG_1837G	homolog to dipeptide epimerase	VNG_1837G,VNG_RS07120,VNG1837G
VNG_1838H	small CPxCG-related zinc finger protein	VNG_1838H,VNG_RS07130,VNG1838H
VNG_1839H	DUF1611 family protein	VNG_1839H,VNG_RS07125,VNG1839H
VNG_1842a	uncharacterized protein	VNG_1842a,VNG_RS07140
VNG_1842H	uncharacterized protein	VNG_1842H,VNG_RS07135,VNG1842H
VNG_1843C	ArsR family transcription regulator	VNG_1843C,VNG_RS07145,VNG1843C
VNG_1844G	glutamyl-tRNA(Gln) amidotransferase subunit D	VNG_1844G,VNG_RS07150,VNG1844G
VNG_1845C	GNAT family acetyltransferase	VNG_1845C,VNG_RS07155,VNG1845C
VNG_1846C	glycerophosphodiester phosphodiesterase	VNG_1846C,VNG_RS07160,VNG1846C
VNG_1847G	ion channel pore / TrkA domain protein	VNG_1847G,VNG_RS07170,VNG1847G
VNG_1848H	ubiquitin-like modifier protein SAMP1	VNG_1848H,VNG_RS07165,VNG1848H
VNG_1849H	HPP domain protein	VNG_1849H,VNG_RS07175,VNG1849H
VNG_1850G	uridine phosphorylase	VNG_1850G,VNG_RS07180,VNG1850G
VNG_1851G	PfkB family kinase	VNG_1851G,VNG_RS07185,VNG1851G
VNG_1852H	DUF63 family protein	VNG_1852H,VNG_RS07190,VNG1852H
VNG_1853G	ribose-1,5-bisphosphate isomerase	VNG_1853G,VNG_RS07195,VNG1853G
VNG_1856G	transducer protein BasT	VNG_1856G,VNG_RS07200,VNG1856G
VNG_1857C	chemotactic signal transduction systemperiplasmic substrate-binding protein BasB	VNG_1857C,VNG_RS07205,VNG1857C
VNG_1859G	deoxyribose-phosphate aldolase	VNG_1859G,VNG_RS07210,VNG1859G
VNG_1861C	MiaB-like tRNA modifying enzyme	VNG_1861C,VNG_RS07215,VNG1861C
VNG_1862G	transport protein (probable substratezinc/cadmium/cobalt)	VNG_1862G,VNG_RS07220,VNG1862G
VNG_1864G	histidine triad family protein (homolog tobis(5'-nucleosyl)-tetraphosphatase)	VNG_1864G,VNG_RS07225,VNG1864G
VNG_1865H	small CPxCG-related zinc finger protein	VNG_1865H,VNG_RS07230,VNG1865H
VNG_1866G	methionine aminopeptidase	VNG_1866G,VNG_RS07235,VNG1866G
VNG_1867G	ABC-type transport system permease protein	VNG_1867G,VNG_RS07240,VNG1867G
VNG_1868G	ABC-type transport system permease protein	VNG_1868G,VNG_RS07245,VNG1868G
VNG_1869C	ABC-type transport system periplasmicsubstrate-binding protein	VNG_1869C,VNG_RS07250,VNG1869C
VNG_1871G	ABC-type transport system ATP-binding protein	VNG_1871G,VNG_RS07255,VNG1871G
VNG_1872C	asparaginase family protein	VNG_1872C,VNG_RS07260,VNG1872C
VNG_1873G	isocitrate dehydrogenase (NADP)	VNG_1873G,VNG_RS07265,VNG1873G
VNG_1874C	uncharacterized protein	VNG_1874C,VNG_RS07270,VNG1874C
VNG_1875G	hydroxymethylglutaryl-CoA reductase (NADPH)	VNG_1875G,VNG_RS07275,VNG1875G
VNG_1877C	UPF0045 family protein	VNG_1877C,VNG_RS07280,VNG1877C
VNG_1879G	ABC-type transport system periplasmicsubstrate-binding protein (probable substrate thiamine)	VNG_1879G,VNG_RS07285,VNG1879G
VNG_1880C	amidohydrolase domain protein	VNG_1880C,VNG_RS07290,VNG1880C
VNG_1882G	quinolinate synthase A	VNG_1882G,VNG_RS07295,VNG1882G
VNG_1883G	L-aspartate oxidase	VNG_1883G,VNG_RS07300,VNG1883G
VNG_1884G	nicotinate-nucleotide pyrophosphorylase(carboxylating)	VNG_1884G,VNG_RS07305,VNG1884G
VNG_1886a	Smr family transport protein	VNG_1886a,VNG_RS07315,VNG1886a
VNG_1886C	TrmB family transcription regulator	VNG_1886C,VNG_RS07310,VNG1886C
VNG_1887G	phosphoglycerate mutase,2,3-biphosphateglycerate-independent type	VNG_1887G,VNG_RS07320,VNG1887G
VNG_1889H	small CPxCG-related zinc finger protein	VNG_1889H,VNG_RS07325,VNG1889H
VNG_1890a	uncharacterized protein	VNG_1890a,VNG_RS13985
VNG_1890H	uncharacterized protein	VNG_1890H,VNG_RS13360,VNG1890H
VNG_1891H	NurA domain protein	VNG_1891H,VNG_RS07335,VNG1891H
VNG_1893G	ABC-type transport system ATP-binding protein	VNG_1893G,VNG_RS07340,VNG1893G
VNG_1894C	uncharacterized protein	VNG_1894C,VNG_RS07345,VNG1894C
VNG_1895H	uncharacterized protein	VNG_1895H,VNG_RS07350,VNG1895H
VNG_1896C	arNOG05179 family protein (DUF87-relatedAAA-type ATPase)	VNG_1896C,VNG_RS07355,VNG1896C
VNG_1898C	UspA domain protein	VNG_1898C,VNG_RS07360,VNG1898C
VNG_1899G	KaiC domain protein	VNG_1899G,VNG_RS07365,VNG1899G
VNG_1900C	probable NAD kinase (polyphosphate/ATP)	VNG_1900C,VNG_RS07370,VNG1900C
VNG_1901C	GTP cyclohydrolase MptA	VNG_1901C,VNG_RS07375,VNG1901C
VNG_1902H	DUF4870 family protein	VNG_1902H,VNG_RS07380,VNG1902H
VNG_1903C	TrmB family transcription regulator	VNG_1903C,VNG_RS07385,VNG1903Cm
VNG_1904H	uncharacterized protein	VNG_1904H,VNG1904H
VNG_1905C	YyaL family protein	VNG_1905C,VNG_RS07390,VNG1905C
VNG_1906H	FxsA domain protein	VNG_1906H,VNG_RS07395,VNG1906H
VNG_1907a	uncharacterized protein	VNG_1907a
VNG_1907b	uncharacterized protein	VNG_1907b,VNG_RS07410
VNG_1907H	uncharacterized protein	VNG_1907H,VNG_RS07405,VNG1907H
VNG_1910H	uncharacterized protein	VNG_1910H,VNG_RS07415,VNG1910H
VNG_1911G	siroheme decarboxylase AhbA	VNG_1911G,VNG_RS07420,VNG1911G
VNG_1912G	probable phosphoribosyltransferase (homolog toanthranilate phosphoribosyltransferase)	VNG_1912G,VNG_RS07425,VNG1912G
VNG_1914G	CYPL-type peptidylprolyl isomerase	VNG_1914G,VNG_RS07430,VNG1914G
VNG_1916H	uncharacterized protein	VNG_1916H,VNG_RS07435,VNG1916H
VNG_1917H	UCP030561 family protein	VNG_1917H,VNG_RS07445,VNG1917H
VNG_1918C	(S)-3-O-geranylgeranylglyceryl phosphatesynthase 2	VNG_1918C,VNG_RS07450,VNG1918C
VNG_1919H	putative fluoride ion transport protein CrcB	VNG_1919H,VNG_RS07455,VNG1919H
VNG_1920H	uncharacterized protein	VNG_1920H,VNG_RS07465,VNG1920H
VNG_1921H	putative fluoride ion transport protein CrcB	VNG_1921H,VNG_RS07460,VNG1921H
VNG_1922G	Lrp/AsnC family transcription regulator	VNG_1922G,VNG_RS07470,VNG1922G
VNG_1924G	TrkA domain protein	VNG_1924G,VNG_RS07475,VNG1924G
VNG_1925H	Lrp/AsnC family transcription regulator	VNG_1925H,VNG_RS07480,VNG1925H
VNG_1926G	probable branched-chain amino acid dehydrogenaseE1 component alpha subunit	VNG_1926G,VNG_RS07485,VNG1926G
VNG_1927H	uncharacterized protein	VNG_1927H,VNG_RS07490,VNG1927H
VNG_1929G	thymidylate kinase	VNG_1929G,VNG_RS07495,VNG1929G
VNG_1932G	arNOG06768 family NADH-binding domain protein	VNG_1932G,VNG_RS07500,VNG1932G
VNG_1933G	FtsZ family protein CetZ, type III	VNG_1933G,VNG_RS07505,VNG1933G
VNG_1934H	uncharacterized protein	VNG_1934H,VNG_RS07510,VNG1934H
VNG_1935C	2-phospho-L-lactate guanylyltransferase	VNG_1935C,VNG_RS07515,VNG1935C
VNG_1937C	7,8-didemethyl-8-hydroxy-5-deazariboflavinsynthase	VNG_1937C,VNG_RS07520,VNG1937C
VNG_1938C	5-amino-6-(D-ribitylamino)uracil--L-tyrosine4-hydroxyphenyl transferase	VNG_1938C,VNG_RS07525,VNG1938C
VNG_1939a	VanZ family protein (nonfunctional)	VNG_1939a
VNG_1939G	phosphoribosylaminoimidazole-succinocarboxamidesynthase	VNG_1939G,VNG_RS07530,VNG1939G
VNG_1940H	uncharacterized protein	VNG_1940H,VNG_RS07535,VNG1940H
VNG_1941C	TIGR01210 family protein	VNG_1941C,VNG_RS07540,VNG1941C
VNG_1942H	uncharacterized protein	VNG_1942H,VNG_RS07545,VNG1942H
VNG_1943H	uncharacterized protein	VNG_1943H,VNG_RS14235,VNG1943H
VNG_1944C	phosphoribosylformylglycinamidine synthasesubunit PurS	VNG_1944C,VNG_RS07555,VNG1944C
VNG_1945G	phosphoribosylformylglycinamidine synthasesubunit PurQ	VNG_1945G,VNG_RS07550,VNG1945G
VNG_1946G	formyltetrahydrofolate deformylase	VNG_1946G,VNG_RS07560,VNG1946G
VNG_1948H	AlkP-core domain protein	VNG_1948H,VNG_RS07565,VNG1948H
VNG_1949G	CBS domain protein	VNG_1949G,VNG_RS07570,VNG1949G
VNG_1951G	S8 family serine protease	VNG_1951G,VNG_RS07575,VNG1951G
VNG_1952H	probable secreted glycoprotein	VNG_1952H,VNG_RS07580,VNG1952H
VNG_1953C	probable secreted glycoprotein	VNG_1953C,VNG_RS07585,VNG1953C
VNG_1954H	homolog to phage PhiH1 repressor protein	VNG_1954H,VNG_RS07590,VNG1954H
VNG_1956a	uncharacterized protein	VNG_1956a,VNG_RS14365
VNG_1956H	spurious ORF	VNG_1956H,VNG1956H
VNG_1957G	archaeosine synthase	VNG_1957G,VNG_RS07600,VNG1957G
VNG_1959G	tRNA-guanine(15) transglycosylase	VNG_1959G,VNG_RS07605,VNG1959G
VNG_1960H	uncharacterized protein	VNG_1960H,VNG_RS14240,VNG1960H
VNG_1962C	NUDIX family hydrolase	VNG_1962C,VNG_RS07610,VNG1962C
VNG_1963a	uncharacterized protein	VNG_1963a,VNG_RS07615
VNG_1963H	spurious ORF	VNG_1963H,VNG1963H
VNG_1964H	Orc1-type DNA replication protein	VNG_1964H,VNG_RS07620,VNG1964H
VNG_1965H	uncharacterized protein	VNG_1965H,VNG_RS07625,VNG1965H
VNG_1967G	glycerol kinase	VNG_1967G,VNG_RS07630,VNG1967G
VNG_1969G	glycerol-3-phosphate dehydrogenase subunit A	VNG_1969G,VNG_RS07635,VNG1969G
VNG_1971G	glycerol-3-phosphate dehydrogenase subunit B	VNG_1971G,VNG_RS07640,VNG1971G
VNG_1972G	glycerol-3-phosphate dehydrogenase subunit C	VNG_1972G,VNG_RS07645,VNG1972G
VNG_1973H	uncharacterized protein	VNG_1973H,VNG_RS07650,VNG1973H
VNG_1974H	DUF1628 domain protein	VNG_1974H,VNG_RS07655,VNG1974H
VNG_1976H	homolog to phage PhiH1 repressor protein	VNG_1976H,VNG_RS07660,VNG1976H
VNG_1977H	AAA-4 family protein	VNG_1977H,VNG_RS13370,VNG1977H
VNG_1978H	uncharacterized protein	VNG_1978H,VNG_RS13375,VNG1978H
VNG_1980C	tRNA (pseudouridine(54)-N(1))-methyltransferase	VNG_1980C,VNG_RS07670,VNG1980C
VNG_1982C	tRNA pseudouridine synthase Pus10	VNG_1982C,VNG_RS07680,VNG1982C
VNG_1983a	uncharacterized protein	VNG_1983a,VNG_RS07675
VNG_1983H	spurious ORF	VNG_1983H,VNG1983H
VNG_1984G	ribonuclease H, type 2	VNG_1984G,VNG_RS07685,VNG1984G
VNG_1985C	probable NhaC-type sodium/proton antiporter	VNG_1985C,VNG_RS07690,VNG1985C
VNG_1986C	endonuclease NucS	VNG_1986C,VNG_RS07695,VNG1986C
VNG_1987G	protein-export membrane protein SecD	VNG_1987G,VNG_RS07700,VNG1987G
VNG_1988G	protein-export membrane protein SecF	VNG_1988G,VNG_RS07705,VNG1988G
VNG_1989H	uncharacterized protein	VNG_1989H,VNG_RS07710,VNG1989H
VNG_1991H	uncharacterized protein	VNG_1991H,VNG_RS07715,VNG1991H
VNG_1992G	glucose-6-phosphate isomerase	VNG_1992G,VNG_RS07720,VNG1992G
VNG_1993H	Abi/CAAX domain protein	VNG_1993H,VNG_RS07725,VNG1993H
VNG_1994C	rRNA maturation endonuclease Nob1	VNG_1994C,VNG_RS07730,VNG1994C
VNG_1995C	PRC domain protein	VNG_1995C,VNG_RS07735,VNG1995C
VNG_1997G	translation initiation factor aIF-5B(bacterial-type IF2)	VNG_1997G,VNG_RS07740,VNG1997G
VNG_1998H	uncharacterized protein	VNG_1998H,VNG_RS07745,VNG1998H
VNG_1999H	pyruvoyl-dependent arginine decarboxylase	VNG_1999H,VNG_RS07750,VNG1999H
VNG_2000G	proteasome-activating nucleotidase	VNG_2000G,VNG_RS07755,VNG2000G
