representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_1511C	Undefined	COG1107	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain	Replication, recombination and repair	Undefined
VNG_1514H	Yip1	COG2881	GTPase-interacting Yip1 domain	General function prediction only	Undefined
VNG_1515G	Tdk	COG1435	Thymidine kinase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_1518H	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_1520G	MutY	COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	Replication, recombination and repair	Undefined
VNG_1524C	ArgD	COG0160	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	Amino acid transport and metabolism	Arginine biosynthesis
VNG_1525C	MgtC	COG3174	Membrane component of predicted Mg2+ transport system, contains DUF4010 domain	Inorganic ion transport and metabolism	Undefined
VNG_1526G	YocR	COG0733	Na+-dependent transporter, SNF family	General function prediction only	Undefined
VNG_1528G	YocR	COG0733	Na+-dependent transporter, SNF family	General function prediction only	Undefined
VNG_1529G	MmdA	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	Lipid transport and metabolism	Undefined
VNG_1532G	PccA	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	Lipid transport and metabolism	Undefined
VNG_1534a	BirA2|BirA	COG0340|COG1654	Biotin-(acetyl-CoA carboxylase) ligase|Biotin operon repressor	Coenzyme transport and metabolism|Transcription	Biotin biosynthesis|Undefined
VNG_1536C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_1537C	YdhJ	COG1078	HD superfamily phosphohydrolase	General function prediction only	Undefined
VNG_1540G	FabG	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_1541G	SucC	COG0045	Succinyl-CoA synthetase, beta subunit	Energy production and conversion	TCA cycle
VNG_1542G	SucD	COG0074	Succinyl-CoA synthetase, alpha subunit	Energy production and conversion	TCA cycle
VNG_1543G	YhdJ	COG0863	DNA modification methylase	Replication, recombination and repair	Undefined
VNG_1544G	ClcA	COG0038	H+/Cl- antiporter ClcA	Inorganic ion transport and metabolism	Undefined
VNG_1546H	GrxC	COG0695	Glutaredoxin	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1547C	PduO	COG2096	Cob(II)alamin adenosyltransferase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1548C	MJ0558	COG1497	Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain	Transcription	Undefined
VNG_1550G	CobL	COG2242	Precorrin-6B methylase 2	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1551G	CobF	COG2243	Precorrin-2 methylase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1553G	CobM	COG2875	Precorrin-4 methylase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1554G	CbiG	COG2073	Cobalamin biosynthesis protein CbiG	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1555G	CobJ	COG1010	Precorrin-3B methylase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1557G	CobJ	COG1010	Precorrin-3B methylase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1561C	SirB|Undefined	COG2138|COG3411	Sirohydrochlorin ferrochelatase|2Fe-2S ferredoxin	Coenzyme transport and metabolism|Energy production and conversion	Cobalamine/B12 biosynthesis|2Fe2S
VNG_1565G	ChlI|ChlD	COG1239|COG1240	Mg-chelatase subunit ChlI|vWFA (von Willebrand factor type A) domain of Mg and Co chelatases	Coenzyme transport and metabolism	Undefined
VNG_1567G	CobH	COG2082	Precorrin-8X methylmutase CbiC/CobH	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1568G	CobL	COG2241	Precorrin-6B methylase 1	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1570H	SirB	COG2138	Sirohydrochlorin ferrochelatase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1572C	CobT	COG2038	NaMN:DMB phosphoribosyltransferase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1573G	CobB	COG1797	Cobyrinic acid a,c-diamide synthase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1574G	BtuR	COG2109	ATP:corrinoid adenosyltransferase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1576G	CobQ	COG1492	Cobyric acid synthase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1577C	YigB	COG1011	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)	Coenzyme transport and metabolism	Undefined
VNG_1578H	CbiB	COG1270	Cobalamin biosynthesis protein CobD/CbiB	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1580H	CobS	COG0368	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1581C	Undefined	COG2266	GTP:adenosylcobinamide-phosphate guanylyltransferase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1582G	HisC	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	Amino acid transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1583C	CbiZ	COG1865	Adenosylcobinamide amidohydrolase	Coenzyme transport and metabolism	Undefined
VNG_1592G	CysU	COG0555	ABC-type sulfate transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_1595C	ModA	COG0725	ABC-type molybdate transport system, periplasmic Mo-binding protein ModA	Inorganic ion transport and metabolism	Molybdopterin biosynthesis
VNG_1598a	Undefined	COG1356	Transcriptional regulator	Transcription	Undefined
VNG_1601G	GcvP2	COG1003	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain	Amino acid transport and metabolism	Glycine cleavage
VNG_1603G	GcvP1	COG0403	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	Amino acid transport and metabolism	Glycine cleavage
VNG_1605G	GcvH	COG0509	Glycine cleavage system protein H (lipoate-binding)	Amino acid transport and metabolism	Glycine cleavage
VNG_1606G	GcvT	COG0404	Glycine cleavage system protein T (aminomethyltransferase)	Amino acid transport and metabolism	Glycine cleavage
VNG_1607G	CheC	COG1776	Phosphoaspartate phosphatase CheC, specific for CheY-P	Signal transduction mechanisms	Undefined
VNG_1608C	LabA	COG1432	NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation	General function prediction only	Undefined
VNG_1609C	AIM24	COG2013	AIM24 protein, required for mitochondrial respiration	Energy production and conversion	Undefined
VNG_1610C	Undefined	COG1831	Predicted metal-dependent hydrolase, urease superfamily	General function prediction only	Undefined
VNG_1611C	Undefined	COG4749	Uncharacterized conserved protein, DUF2150 domain	Function unknown	Undefined
VNG_1615G	PksG	COG3425	3-hydroxy-3-methylglutaryl CoA synthase	Lipid transport and metabolism	Isoprenoid biosynthesis
VNG_1616C	Undefined	COG1709	Predicted transcriptional regulator,contains XRE-type HTH domain	Transcription	Undefined
VNG_1618H	SsuE	COG0431	NAD(P)H-dependent FMN reductase	Energy production and conversion	Undefined
VNG_1621H	NimA	COG3467	Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily	Defense mechanisms	Undefined
VNG_1622G	HolB	COG0470	DNA polymerase III, delta prime subunit	Replication, recombination and repair	Undefined
VNG_1623G	CtaA	COG1612	Heme A synthase	Coenzyme transport and metabolism	Undefined
VNG_1624G	Pta|SfcA	COG0280|COG0281	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)|Malic enzyme	Energy production and conversion	Undefined|Urea cycle
VNG_1626C	RhaT	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	Carbohydrate transport and metabolism	Undefined
VNG_1628G	PdxI	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	Coenzyme transport and metabolism	Undefined
VNG_1631G	EcfA2	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	Inorganic ion transport and metabolism	Undefined
VNG_1632G	EcfT	COG0619	ECF-type transporter transmembrane protein EcfT	Coenzyme transport and metabolism	Undefined
VNG_1634G	CbiN	COG1930	ABC-type cobalt transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_1635G	CbiM	COG0310	ABC-type Co2+ transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_1637G	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_1641H	TVP38	COG0398	Uncharacterized membrane protein YdjX, related to fungal oxalate transporter, TVP38/TMEM64 family	Function unknown	Undefined
VNG_1644G	NrdA	COG0209	Ribonucleotide reductase alpha subunit	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_1646G	PabA	COG0512	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_1647G	TrpE	COG0147	Anthranilate/para-aminobenzoate synthases component I	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_1648G	TrpF	COG0135	Phosphoribosylanthranilate isomerase	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_1649G	TrpD	COG0547	Anthranilate phosphoribosyltransferase, glycosyltransferase domain	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_1653H	InsG	COG3385	IS4 transposase InsG	Mobilome: prophages, transposons	Undefined
VNG_1657H	Undefined	COG4885	Uncharacterized conserved protein	Function unknown	Undefined
VNG_1658C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_1660G	Undefined	COG5524	Bacteriorhodopsin	Energy production and conversion	Undefined
VNG_1665G	RecA	COG0468	RecA/RadA recombinase	Replication, recombination and repair	Undefined
VNG_1666H	RfbD	COG1091	dTDP-4-dehydrorhamnose reductase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1667G	SpoVK	COG0464	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1668G	RPS8A	COG2007	Ribosomal protein S8E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1670C	Undefined	COG3612	Predicted DNA-binding protein AF1194, contains HTH domain, DUF2240 family	Function unknown	Undefined
VNG_1673G	PyrF	COG0284	Orotidine-5'-phosphate decarboxylase	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_1675a	YigB	COG1011	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)	Coenzyme transport and metabolism	Undefined
VNG_1676G	GTPBP1	COG5258	GTPase	General function prediction only	Undefined
VNG_1680G	ERG9	COG1562	Phytoene/squalene synthetase	Lipid transport and metabolism	Undefined
VNG_1681C	Undefined	COG2324	Uncharacterized membrane protein	Function unknown	Undefined
VNG_1682C	UbiA	COG0382	4-hydroxybenzoate polyprenyltransferase	Coenzyme transport and metabolism	Ubiquinone biosynthesis
VNG_1684G	Undefined	COG1233	Phytoene dehydrogenase-related protein	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_1686G	Mch	COG3252	Methenyltetrahydromethanopterin cyclohydrolase	Coenzyme transport and metabolism	Undefined
VNG_1688C	MTH1	COG2106	Predicted RNA methylase MTH1, SPOUT superfamily	General function prediction only	Undefined
VNG_1689G	RplC	COG0087	Ribosomal protein L3	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1690G	RplD	COG0088	Ribosomal protein L4	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1691G	RplW	COG0089	Ribosomal protein L23	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1692G	RplB	COG0090	Ribosomal protein L2	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1693G	RpsS	COG0185	Ribosomal protein S19	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1695G	RplV	COG0091	Ribosomal protein L22	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1697G	RpsC	COG0092	Ribosomal protein S3	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1698G	RpmC	COG0255	Ribosomal protein L29	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1699C	POP4	COG1588	RNase P/RNase MRP subunit p29	Translation, ribosomal structure and biogenesis	Undefined
VNG_1700G	RpsQ	COG0186	Ribosomal protein S17	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1701G	RplN	COG0093	Ribosomal protein L14	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1702G	RplX	COG0198	Ribosomal protein L24	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1703G	RPS4A	COG1471	Ribosomal protein S4E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1705G	RplE	COG0094	Ribosomal protein L5	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1707G	RpsH	COG0096	Ribosomal protein S8	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1709G	RplF	COG0097	Ribosomal protein L6P/L9E	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1711G	Rpl32e	COG1717	Ribosomal protein L32E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1713G	RPL19A	COG2147	Ribosomal protein L19E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1714G	RplR	COG0256	Ribosomal protein L18	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1715G	RpsE	COG0098	Ribosomal protein S5	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1716G	RpmD	COG1841	Ribosomal protein L30/L7E	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1718G	RplO	COG0200	Ribosomal protein L15	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1719G	SecY	COG0201	Preprotein translocase subunit SecY	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_1720H	FepB	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_1721G	TrkG	COG0168	Trk-type K+ transport system, membrane component	Inorganic ion transport and metabolism	Undefined
VNG_1724G	Adk	COG0563	Adenylate kinase or related kinase	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_1726G	YidC	COG1422	Archaeal YidC/Oxa1-related membrane protein, DUF106 family	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1727G	CmkB	COG1102	Cytidylate kinase	Nucleotide transport and metabolism	Undefined
VNG_1729G	TruB	COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_1732C	YjbI	COG1357	Uncharacterized conserved protein YjbI, contains pentapeptide repeats	Function unknown	Undefined
VNG_1735C	YcbX	COG3217	N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain	Nucleotide transport and metabolism	Undefined
VNG_1737H	YjiC	COG1819	UDP:flavonoid glycosyltransferase YjiC, YdhE family	Carbohydrate transport and metabolism	Undefined
VNG_1739G	RAD55	COG0467	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family	Signal transduction mechanisms	Undefined
VNG_1743C	RPB9	COG1594	DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS	Transcription	RNA polymerase
VNG_1744H	ZupT	COG0428	Zinc transporter ZupT	Inorganic ion transport and metabolism	Undefined
VNG_1746C	YqjF	COG3361	Uncharacterized conserved protein YqjF, DUF2071 family	Function unknown	Undefined
VNG_1748C	YdfG	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Energy production and conversion	Pyrimidine degradation
VNG_1749G	GTP1	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	Translation, ribosomal structure and biogenesis	Undefined
VNG_1752C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_1754G	PhrB	COG0415	Deoxyribodipyrimidine photolyase	Replication, recombination and repair	Undefined
VNG_1755G	Undefined	COG1233	Phytoene dehydrogenase-related protein	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_1756G	InfA	COG0361	Translation initiation factor IF-1	Translation, ribosomal structure and biogenesis	Translation factors
VNG_1762G	OsmF	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1764G	Undefined	COG5524	Bacteriorhodopsin	Energy production and conversion	Undefined
VNG_1765G	Tar	COG0840	Methyl-accepting chemotaxis protein (MCP)	Signal transduction mechanisms	Undefined
VNG_1766C	NIF3	COG0327	Putative GTP cyclohydrolase 1 type 2, NIF3 family	Coenzyme transport and metabolism	Folate biosynthesis
VNG_1767G	SpeB	COG0010	Arginase/agmatinase family enzyme	Amino acid transport and metabolism	Urea cycle
VNG_1768G	Efp	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	Translation, ribosomal structure and biogenesis	Translation factors
VNG_1769C	ArfB	COG1402	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis
VNG_1770C	AarF	COG0661	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	Coenzyme transport and metabolism	Ubiquinone biosynthesis
VNG_1771C	IbpA	COG0071	Small heat shock protein IbpA, HSP20 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1772G	Gph	COG0546	Phosphoglycolate phosphatase, HAD superfamily	Energy production and conversion	Undefined
VNG_1773G	PhhB	COG2154	Pterin-4a-carbinolamine dehydratase	Coenzyme transport and metabolism	Undefined
VNG_1774G	HemA	COG0373	Glutamyl-tRNA reductase	Coenzyme transport and metabolism	Heme biosynthesis
VNG_1775C	CysG2	COG1648	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	Coenzyme transport and metabolism	Heme biosynthesis
VNG_1776G	Lrp	COG1522	DNA-binding transcriptional regulator, Lrp family	Transcription	Undefined
VNG_1779C	UppS	COG0020	Undecaprenyl pyrophosphate synthase	Lipid transport and metabolism	Undefined
VNG_1781C	UppS	COG0020	Undecaprenyl pyrophosphate synthase	Lipid transport and metabolism	Undefined
VNG_1782C	Undefined	COG1836	Cytidylyltransferase family enzyme	General function prediction only	Undefined
VNG_1785G	PutP	COG0591	Na+/proline symporter	Amino acid transport and metabolism	Undefined
VNG_1790H	Undefined	COG1416	Intracellular sulfur oxidation protein, DsrE/DsrF family	Inorganic ion transport and metabolism	Undefined
VNG_1791C	YpjA	COG4347	Uncharacterized membrane protein YpjA	Function unknown	Undefined
VNG_1793C	PdxS	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS	Coenzyme transport and metabolism	Pyridoxal phosphate biosynthesis
VNG_1794C	YncB	COG1525	Endonuclease YncB, thermonuclease family	Replication, recombination and repair	Undefined
VNG_1795C	HemY	COG1232	Protoporphyrinogen oxidase HemY/PPOX	Coenzyme transport and metabolism	Heme biosynthesis
VNG_1797G	ThrB	COG0083	Homoserine kinase	Amino acid transport and metabolism	Threonine biosynthesis
VNG_1801G	IbpA	COG0071	Small heat shock protein IbpA, HSP20 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1811G	YbfO	COG2312	Erythromycin esterase homolog	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_1814G	CarB	COG0458	Carbamoylphosphate synthase large subunit	Amino acid transport and metabolism	Arginine biosynthesis
VNG_1815G	CarA	COG0505	Carbamoylphosphate synthase small subunit	Amino acid transport and metabolism	Arginine biosynthesis
VNG_1816G	Lrp	COG1522	DNA-binding transcriptional regulator, Lrp family	Transcription	Undefined
VNG_1818a	Rri1	COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1818G	Idi	COG1443	Isopentenyldiphosphate isomerase	Lipid transport and metabolism	Isoprenoid biosynthesis
VNG_1821G	Qor	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	Energy production and conversion	Undefined
VNG_1822G	MoaB	COG0521	Molybdopterin biosynthesis enzyme MoaB/MogA	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_1823C	FAU1	COG0212	5-formyltetrahydrofolate cyclo-ligase	Coenzyme transport and metabolism	Undefined
VNG_1829G	GuaA2	COG0519	GMP synthase, PP-ATPase domain/subunit	Nucleotide transport and metabolism	Purine biosynthesis
VNG_1830G	PyrG	COG0504	CTP synthase (UTP-ammonia lyase)	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_1833C	Undefined	COG2945	Alpha/beta superfamily hydrolase	General function prediction only	Undefined
VNG_1834G	Bcp	COG1225	Peroxiredoxin	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1835G	ThrS	COG0441	Threonyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_1836G	CspC	COG1278	Cold shock protein, CspA family	Transcription	Undefined
VNG_1837G	RspA	COG4948	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	Cell wall/membrane/envelope biogenesis	Non-phosphorylated Entner-Doudoroff pathway
VNG_1839H	Undefined	COG3367	Uncharacterized conserved protein, NAD-dependent epimerase/dehydratase family	General function prediction only	Undefined
VNG_1843C	Undefined	COG1777	Predicted transcriptional regulator, ArsR family	Transcription	Undefined
VNG_1844G	AnsA	COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	Translation, ribosomal structure and biogenesis	Undefined
VNG_1846C	UgpQ	COG0584	Glycerophosphoryl diester phosphodiesterase	Lipid transport and metabolism	Undefined
VNG_1848H	MoaD	COG1977	Molybdopterin synthase sulfur carrier subunit MoaD	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_1850G	Udp	COG2820	Uridine phosphorylase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_1851G	RbsK	COG0524	Sugar or nucleoside kinase, ribokinase family	Carbohydrate transport and metabolism	Glycolysis
VNG_1852H	Undefined	COG1967	Uncharacterized membrane protein	Function unknown	Undefined
VNG_1853G	GCD2	COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	Translation, ribosomal structure and biogenesis	Translation factors
VNG_1857C	LivK	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	Amino acid transport and metabolism	Undefined
VNG_1859G	DeoC	COG0274	Deoxyribose-phosphate aldolase	Nucleotide transport and metabolism	Undefined
VNG_1861C	MiaB	COG0621	tRNA A37 methylthiotransferase MiaB	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_1862G	FieF	COG0053	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	Inorganic ion transport and metabolism	Undefined
VNG_1864G	HinT	COG0537	Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family	Nucleotide transport and metabolism	Undefined
VNG_1866G	Map	COG0024	Methionine aminopeptidase	Translation, ribosomal structure and biogenesis	Undefined
VNG_1867G	PotC	COG1177	ABC-type spermidine/putrescine transport system, permease component II	Amino acid transport and metabolism	Undefined
VNG_1868G	PotB	COG1176	ABC-type spermidine/putrescine transport system, permease component I	Amino acid transport and metabolism	Undefined
VNG_1869C	PotD	COG0687	Spermidine/putrescine-binding periplasmic protein	Amino acid transport and metabolism	Undefined
VNG_1871G	PotA	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	Amino acid transport and metabolism	Undefined
VNG_1872C	IaaA	COG1446	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily	Amino acid transport and metabolism	Undefined
VNG_1873G	Icd	COG0538	Isocitrate dehydrogenase	Energy production and conversion	TCA cycle
VNG_1875G	HMG1	COG1257	Hydroxymethylglutaryl-CoA reductase	Lipid transport and metabolism	Isoprenoid biosynthesis
VNG_1877C	YqgV	COG0011	Thiamin-binding stress-response protein YqgV, UPF0045 family	Coenzyme transport and metabolism	Undefined
VNG_1879G	TbpA	COG4143	ABC-type thiamine transport system, periplasmic component TbpA	Coenzyme transport and metabolism	Undefined
VNG_1880C	YtcJ	COG1574	Predicted amidohydrolase YtcJ	General function prediction only	Undefined
VNG_1882G	NadA	COG0379	Quinolinate synthase	Coenzyme transport and metabolism	NAD biosynthesis
VNG_1883G	NadB	COG0029	Aspartate oxidase	Coenzyme transport and metabolism	NAD biosynthesis
VNG_1884G	NadC	COG0157	Nicotinate-nucleotide pyrophosphorylase	Coenzyme transport and metabolism	NAD biosynthesis
VNG_1886a	EmrE	COG2076	Multidrug transporter EmrE and related cation transporters	Defense mechanisms	Undefined
VNG_1886C	YrhO	COG1378	Sugar-specific transcriptional regulator TrmB	Transcription	Undefined
VNG_1887G	GpmI	COG0696	Phosphoglycerate mutase (BPG-independent), AlkP superfamily	Carbohydrate transport and metabolism	Glycolysis
VNG_1893G	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_1896C	HerA	COG0433	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	Replication, recombination and repair	Undefined
VNG_1898C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_1899G	RAD55	COG0467	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family	Signal transduction mechanisms	Undefined
VNG_1900C	NadK	COG0061	NAD kinase	Coenzyme transport and metabolism	Undefined
VNG_1901C	FolE2	COG1469	GTP cyclohydrolase FolE2	Coenzyme transport and metabolism	Folate biosynthesis
VNG_1903C	YrhO	COG1378	Sugar-specific transcriptional regulator TrmB	Transcription	Undefined
VNG_1906H	FxsA	COG3030	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family	General function prediction only	Undefined
VNG_1911G	Lrp	COG1522	DNA-binding transcriptional regulator, Lrp family	Transcription	Undefined
VNG_1912G	TrpD	COG0547	Anthranilate phosphoribosyltransferase, glycosyltransferase domain	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_1914G	PpiB	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1917H	SnoaL	COG4538	Uncharacterized conserved protein, contains SnoaL-like domain	Function unknown	Undefined
VNG_1918C	PcrB	COG1646	Glycerol-1-phosphate heptaprenyltransferase	Lipid transport and metabolism	Undefined
VNG_1919H	CrcB	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_1924G	TrkA	COG0569	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	Inorganic ion transport and metabolism	Undefined
VNG_1926G	AcoA	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	Energy production and conversion	Pyruvate oxidation
VNG_1929G	Tmk	COG0125	Thymidylate kinase	Nucleotide transport and metabolism	Thymidylate biosynthesis
VNG_1932G	YbjT	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	General function prediction only	Undefined
VNG_1933G	FtsZ	COG0206	Cell division GTPase FtsZ	Cell cycle control, cell division, chromosome partitioning	Undefined
